TIME,OPEN,CLOSE,HIGH,LOW,VOLUME
1679274900,1968.98,1969.38,1968.1,1968.255,901
1679274960,1968.42,1968.83,1967.9,1968.545,1304
1679275020,1968.8,1969.56,1968.4,1968.96,1115
1679275080,1968.89,1969.55,1968.6,1968.92,871
1679275140,1968.92,1969.2,1967.8,1968.49,875
1679275200,1968.43,1968.83,1968,1968.65,903
1679275260,1968.4,1969.1,1968.4,1969.09,836
1679275320,1969.03,1969.2,1968.4,1968.565,818
1679275380,1968.57,1969.41,1968.1,1969.4,911
1679275440,1969.4,1969.61,1968.8,1969.55,975
1679275500,1969.55,1970.73,1969.2,1970.69,1092
1679275560,1970.635,1971.1,1970.2,1970.97,870
1679275620,1970.7,1971.02,1970.1,1970.59,813
1679275680,1970.59,1971.3,1970.3,1971.08,711
1679275740,1971.08,1971.41,1970.4,1971.15,921
1679275800,1971.16,1971.43,1970.3,1971.26,1411
1679275860,1971.4,1971.91,1971,1971.84,1139
1679275920,1971.79,1972.45,1971.5,1971.85,1304
1679275980,1971.86,1972.65,1971.3,1972.53,1086
1679276040,1972.53,1972.65,1971.4,1971.69,1161
1679276100,1971.74,1972.26,1971.1,1972.14,1242
1679276160,1972.18,1972.18,1970.8,1971.25,1457
1679276220,1971.25,1971.68,1970.6,1971.09,1419
1679276280,1971.06,1971.77,1970.6,1971.65,1328
1679276340,1971.65,1972.3,1971.2,1972.3,1365
1679276400,1972.29,1972.35,1970.6,1971.07,1331
1679276460,1971.13,1971.18,1970.2,1970.56,1129
1679276520,1970.475,1970.65,1969.6,1970.42,1188
1679276580,1970.37,1971.31,1970.1,1971.04,1163
1679276640,1970.935,1971.34,1970.6,1970.9,1028
1679276700,1970.9,1971,1970.3,1970.67,1073
1679276760,1970.63,1970.77,1969.7,1970.37,882
1679276820,1970.41,1970.63,1969.9,1970.27,845
1679276880,1970.27,1970.675,1969,1970.45,923
1679276940,1970.545,1971.12,1970.1,1970.985,1008
1679277000,1971.04,1971.09,1970.1,1970.5,982
1679277060,1970.695,1971.38,1970.4,1971.05,1080
1679277120,1970.924,1971.54,1970.1,1970.54,1319
1679277180,1970.49,1971.05,1969.8,1970.2,1120
1679277240,1970.43,1970.67,1969.8,1970.45,1137
1679277300,1970.42,1970.45,1969.3,1969.56,922
1679277360,1969.61,1970.01,1969.2,1969.7,903
1679277420,1969.91,1970.1,1968.9,1969,853
1679277480,1969.27,1969.61,1968.8,1969.2,820
1679277540,1969.51,1969.65,1968.8,1969.65,731
1679277600,1969.625,1970.26,1969.2,1970.15,966
1679277660,1970.08,1970.33,1969.4,1970.09,753
1679277720,1970.09,1970.12,1969.2,1969.5,855
1679277780,1969.76,1969.78,1968.9,1969.595,926
1679277840,1969.66,1970.06,1969.3,1969.97,774
1679277900,1970.01,1970.53,1969.7,1970.47,843
1679277960,1970.52,1971.03,1970.2,1970.5,709
1679278020,1970.8,1971.07,1970.1,1970.95,738
1679278080,1970.98,1971.02,1970.2,1970.54,533
1679278140,1970.2,1970.62,1969.8,1970.51,550
1679278200,1970.56,1971.59,1970.2,1971,911
1679278260,1971.27,1971.61,1970.8,1971.21,719
1679278320,1971.17,1971.35,1970.4,1971.08,602
1679278380,1971.11,1971.26,1970.3,1970.785,665
1679278440,1970.79,1971.09,1970.3,1971.04,523
1679278500,1970.92,1970.98,1970,1970.36,532
1679278560,1970.42,1970.61,1969.8,1970.38,693
1679278620,1970.33,1970.58,1969.8,1970.58,385
1679278680,1970.53,1970.59,1969.8,1970.43,497
1679278740,1970.43,1970.92,1970.2,1970.83,476
1679278800,1970.85,1970.98,1970.4,1970.81,340
1679278860,1970.5,1970.9,1970.1,1970.78,602
1679278920,1970.79,1970.97,1970.4,1970.89,540
1679278980,1970.89,1970.95,1970.4,1970.76,454
1679279040,1970.76,1970.77,1969.8,1970.32,485
1679279100,1970.215,1970.77,1970,1970.528,668
1679279160,1970.53,1970.72,1970.1,1970.7,626
1679279220,1970.71,1970.78,1970,1970.48,418
1679279280,1970.48,1970.93,1970,1970.79,609
1679279340,1970.835,1971.02,1970.3,1970.89,592
1679279400,1970.92,1971.32,1970.3,1970.92,961
1679279460,1970.765,1971.29,1970.4,1971.21,601
1679279520,1971.24,1971.5,1970.9,1971.4,635
1679279580,1971.255,1971.76,1970.7,1971.65,572
1679279640,1971.64,1971.71,1970.9,1971.52,742
1679279700,1971.54,1971.69,1970.9,1971.45,711
1679279760,1971.49,1971.82,1971,1971.62,896
1679279820,1971.595,1972.05,1971.1,1971.98,760
1679279880,1971.865,1972.89,1971.7,1972.84,917
1679279940,1972.92,1973.49,1972.4,1973.49,993
1679280000,1973.435,1973.64,1972.7,1973.17,883
1679280060,1973.1,1973.34,1972.7,1973.06,859
1679280120,1973.05,1973.37,1972.6,1973.28,716
1679280180,1973.23,1973.94,1972.9,1973.86,811
1679280240,1973.86,1974.32,1973.5,1974.18,833
1679280300,1974.29,1974.78,1973.2,1974.3,932
1679280360,1974.63,1975.48,1974.1,1974.49,1304
1679280420,1974.53,1974.86,1974,1974.55,807
1679280480,1974.65,1974.88,1973.9,1974.36,801
1679280540,1974.24,1974.41,1973.7,1974.21,645
1679280600,1974.16,1974.58,1973.9,1974.1,772
1679280660,1974.11,1974.92,1973.7,1974.71,900
1679280720,1974.71,1974.785,1974.1,1974.76,756
1679280780,1974.76,1975.155,1974.4,1974.97,675
1679280840,1974.95,1975.43,1974.6,1975,816
1679280900,1975.28,1975.29,1974.3,1974.99,724
1679280960,1974.9,1975,1973.9,1974.83,657
1679281020,1974.83,1975.05,1974.3,1974.7,660
1679281080,1974.64,1975.1,1974.1,1975.04,609
1679281140,1974.94,1975.13,1974.4,1974.778,505
1679281200,1974.82,1975.04,1974,1974.98,801
1679281260,1974.98,1975.03,1974.1,1974.62,732
1679281320,1974.73,1974.77,1973.8,1973.958,853
1679281380,1974.08,1974.13,1973.4,1973.71,738
1679281440,1973.77,1973.84,1973.1,1973.4,637
1679281500,1973.45,1973.95,1973,1973.86,515
1679281560,1973.94,1973.97,1973.3,1973.73,483
1679281620,1973.82,1973.85,1972.9,1972.9,719
1679281680,1973.21,1973.32,1972.5,1972.89,790
1679281740,1972.88,1973.39,1972.6,1972.9,655
1679281800,1973.16,1973.48,1972.6,1973.44,748
1679281860,1973.41,1973.52,1972.7,1973.21,586
1679281920,1973.25,1973.71,1972.9,1973.65,752
1679281980,1973.73,1973.82,1972.7,1973.46,704
1679282040,1973.34,1973.95,1973,1973.4,589
1679282100,1973.67,1974,1973.2,1973.52,566
1679282160,1973.59,1973.59,1972.8,1973.2,690
1679282220,1973.25,1973.31,1972.6,1973.1,623
1679282280,1973.1,1974.4,1972.7,1974.27,781
1679282340,1974.24,1974.75,1973.8,1974.42,1096
1679282400,1974.42,1975.01,1973.7,1974.89,946
1679282460,1974.91,1975.25,1974.2,1974.48,960
1679282520,1974.46,1974.75,1973.8,1974.65,811
1679282580,1974.65,1974.68,1973.7,1974.21,823
1679282640,1974.21,1974.32,1973.7,1974.18,770
1679282700,1974.21,1975.44,1973.7,1974.95,1543
1679282760,1974.825,1975.29,1974.6,1974.92,1057
1679282820,1974.96,1975.09,1973.8,1974.42,950
1679282880,1974.42,1974.45,1973.5,1974.11,836
1679282940,1974.11,1974.29,1973.3,1973.78,796
1679283000,1973.85,1974.62,1973.4,1973.92,870
1679283060,1973.98,1974.12,1972.9,1973.56,866
1679283120,1973.54,1974,1973.1,1973.598,533
1679283180,1973.71,1973.71,1972.9,1973.41,751
1679283240,1973.238,1973.52,1972.9,1973.34,630
1679283300,1973.26,1973.42,1972.3,1972.91,812
1679283360,1972.825,1973.07,1972.3,1972.67,670
1679283420,1972.74,1973.2,1972.5,1972.7,895
1679283480,1973.07,1973.16,1972.4,1973.005,577
1679283540,1972.8,1973.24,1972.5,1973.08,545
1679283600,1972.7,1973.15,1972.3,1972.78,502
1679283660,1972.78,1972.85,1972.2,1972.69,414
1679283720,1972.69,1972.84,1972.1,1972.68,458
1679283780,1972.675,1973.15,1972.3,1973.11,515
1679283840,1973.11,1973.11,1972.5,1972.88,421
1679283900,1972.88,1972.95,1972.3,1972.59,393
1679283960,1972.4,1972.66,1972.1,1972.64,397
1679284020,1972.64,1972.75,1972.1,1972.47,506
1679284080,1972.46,1972.78,1972.2,1972.74,492
1679284140,1972.624,1972.89,1972.3,1972.72,374
1679284200,1972.75,1972.83,1972.2,1972.63,349
1679284260,1972.63,1972.93,1972.1,1972.85,426
1679284320,1972.5,1973.18,1972.5,1972.96,366
1679284380,1972.96,1973.02,1972.3,1972.91,362
1679284440,1972.94,1972.97,1972.2,1972.64,441
1679284500,1972.63,1972.81,1972.2,1972.565,395
1679284560,1972.72,1973.18,1972.4,1972.9,374
1679284620,1972.6,1973.28,1972.5,1972.7,448
1679284680,1972.99,1973.17,1972.4,1973.11,415
1679284740,1973.11,1973.42,1972.7,1973.34,391
1679284800,1973.33,1973.51,1973,1973.2,422
